SID,Level,WORD,POS,WORD,Vowel_Type,Stressed_Vowel
492,C,excellence,n.,excellence,Monophthong,/ ɛ /
493,C,exceptional,adj.,exceptional,Monophthong,/ ɛ /
494,C,excess,n.,excess,Monophthong,/ ɛ /
495,C,excess,adj.,excess,Monophthong,/ ɛ /
496,C,exclusion,n.,exclusion,Monophthong,/ u /
497,C,exclusive,adj.,exclusive,Monophthong,/ u /
498,C,exclusively,adv.,exclusively,Monophthong,/ u /
499,C,execute,v.,execute,Monophthong,/ ɛ /
500,C,execution,n.,execution,Monophthong,/ u /
501,C,exert,v.,exert,Monophthong,/ ɝ /
502,C,exile,n.,exile,Monophthong,/ ɛ /
503,C,exit,v.,exit,Monophthong,/ ɛ /
504,C,expenditure,n.,expenditure,Monophthong,/ ɛ /
505,C,experimental,adj.,experimental,Monophthong,/ ɛ /
506,C,expire,v.,expire,Diphthong,/ aɪ /
507,C,explicit,adj.,explicit,Monophthong,/ ɪ /
508,C,explicitly,adv.,explicitly,Monophthong,/ ɪ /
509,C,exploitation,n.,exploitation,Diphthong,/ eɪ /
510,C,explosive,adj.,explosive,Diphthong,/ oʊ /
511,C,explosive,n.,explosive,Diphthong,/ oʊ /
512,C,extract,v.,extract,Monophthong,/ æ /
513,C,extremist,n.,extremist,Monophthong,/ i /
514,C,facilitate,v.,facilitate,Monophthong,/ ɪ /
515,C,faction,n.,faction,Monophthong,/ æ /
516,C,faculty,n.,faculty,Monophthong,/ æ /
517,C,fade,v.,fade,Diphthong,/ eɪ /
518,C,fairness,n.,fairness,Monophthong,/ ɛ /
519,C,fatal,adj.,fatal,Diphthong,/ eɪ /
520,C,fate,n.,fate,Diphthong,/ eɪ /
521,C,favourable,adj.,favourable,Diphthong,/ eɪ /
522,C,feat,n.,feat,Monophthong,/ i /
523,C,feminist,adj.,feminist,Monophthong,/ ɛ /
524,C,feminist,n.,feminist,Monophthong,/ ɛ /
525,C,fibre,n.,fibre,Diphthong,/ aɪ /
526,C,fierce,adj.,fierce,Monophthong,/ ɪ /
527,C,film-maker,n.,film-maker,Monophthong,/ ɪ /
528,C,filter,n.,filter,Monophthong,/ ɪ /
529,C,filter,v.,filter,Monophthong,/ ɪ /
530,C,fine,n.,fine,Diphthong,/ aɪ /
531,C,fine,v.,fine,Diphthong,/ aɪ /
532,C,firearm,n.,firearm,Diphthong,/ aɪ /
533,C,fit,n.,fit,Monophthong,/ ɪ /
534,C,fixture,n.,fixture,Monophthong,/ ɪ /
535,C,flaw,n.,flaw,Monophthong,/ ɔ /
536,C,flawed,adj.,flawed,Monophthong,/ ɔ /
537,C,flee,v.,flee,Monophthong,/ i /
538,C,fleet,n.,fleet,Monophthong,/ i /
539,C,flesh,n.,flesh,Monophthong,/ ɛ /
540,C,flexibility,n.,flexibility,Monophthong,/ ɪ /
541,C,flourish,v.,flourish,Monophthong,/ ɝ /
542,C,fluid,n.,fluid,Monophthong,/ u /
543,C,footage,n.,footage,Monophthong,/ ʊ /
544,C,foreigner,n.,foreigner,Monophthong,/ ɔ /
545,C,forge,v.,forge,Monophthong,/ ɔ /
546,C,formula,n.,formula,Monophthong,/ ɔ /
547,C,formulate,v.,formulate,Monophthong,/ ɔ /
548,C,forth,adv.,forth,Monophthong,/ ɔ /
549,C,forthcoming,adj.,forthcoming,Monophthong,/ ʌ /
550,C,foster,v.,foster,Monophthong,/ ɑ /
551,C,fragile,adj.,fragile,Monophthong,/ æ /
552,C,franchise,n.,franchise,Monophthong,/ æ /
553,C,frankly,adv.,frankly,Monophthong,/ æ /
554,C,frustrated,adj.,frustrated,Monophthong,/ ʌ /
555,C,frustrating,adj.,frustrating,Monophthong,/ ʌ /
556,C,frustration,n.,frustration,Diphthong,/ eɪ /
557,C,functional,adj.,functional,Monophthong,/ ʌ /
558,C,fundraising,n.,fundraising,Monophthong,/ ʌ /
559,C,funeral,n.,funeral,Monophthong,/ u /
560,C,gallon,n.,gallon,Monophthong,/ æ /
561,C,gambling,n.,gambling,Monophthong,/ æ /
562,C,gathering,n.,gathering,Monophthong,/ æ /
563,C,gaze,n.,gaze,Diphthong,/ eɪ /
564,C,gaze,v.,gaze,Diphthong,/ eɪ /
565,C,gear,n.,gear,Monophthong,/ ɪ /
566,C,generic,adj.,generic,Monophthong,/ ɛ /
567,C,genocide,n.,genocide,Monophthong,/ ɛ /
568,C,glance,n.,glance,Monophthong,/ æ /
569,C,glance,v.,glance,Monophthong,/ æ /
570,C,glimpse,n.,glimpse,Monophthong,/ ɪ /
571,C,glorious,adj.,glorious,Monophthong,/ ɔ /
572,C,glory,n.,glory,Monophthong,/ ɔ /
573,C,governance,n.,governance,Monophthong,/ ʌ /
574,C,grace,n.,grace,Diphthong,/ eɪ /
575,C,grasp,v.,grasp,Monophthong,/ æ /
576,C,grasp,n.,grasp,Monophthong,/ æ /
577,C,grave,n.,grave,Diphthong,/ eɪ /
578,C,grave,adj.,grave,Diphthong,/ eɪ /
579,C,gravity,n.,gravity,Monophthong,/ æ /
580,C,grid,n.,grid,Monophthong,/ ɪ /
581,C,grief,n.,grief,Monophthong,/ i /
582,C,grin,v.,grin,Monophthong,/ ɪ /
583,C,grin,n.,grin,Monophthong,/ ɪ /
584,C,grind,v.,grind,Diphthong,/ aɪ /
585,C,grip,n.,grip,Monophthong,/ ɪ /
586,C,grip,v.,grip,Monophthong,/ ɪ /
587,C,gross,adj.,gross,Diphthong,/ oʊ /
588,C,guerrilla,n.,guerrilla,Monophthong,/ ɪ /
589,C,guidance,n.,guidance,Diphthong,/ aɪ /
590,C,guilt,n.,guilt,Monophthong,/ ɪ /
591,C,gut,n.,gut,Monophthong,/ ʌ /
592,C,hail,v.,hail,Diphthong,/ eɪ /
593,C,halfway,adv.,halfway,Diphthong,/ eɪ /
594,C,halt,v.,halt,Monophthong,/ ɔ /
595,C,halt,n.,halt,Monophthong,/ ɔ /
596,C,handful,n.,handful,Monophthong,/ æ /
597,C,handling,n.,handling,Monophthong,/ æ /
598,C,handy,adj.,handy,Monophthong,/ æ /
599,C,harassment,n.,harassment,Monophthong,/ æ /
600,C,hardware,n.,hardware,Monophthong,/ ɑ /
601,C,harmony,n.,harmony,Monophthong,/ ɑ /
602,C,harsh,adj.,harsh,Monophthong,/ ɑ /
603,C,harvest,n.,harvest,Monophthong,/ ɑ /
604,C,harvest,v.,harvest,Monophthong,/ ɑ /
605,C,hatred,n.,hatred,Diphthong,/ eɪ /
606,C,haunt,v.,haunt,Monophthong,/ ɔ /
607,C,hazard,n.,hazard,Monophthong,/ æ /
608,C,heighten,v.,heighten,Diphthong,/ aɪ /
609,C,heritage,n.,heritage,Monophthong,/ ɛ /
610,C,hierarchy,n.,hierarchy,Diphthong,/ aɪ /
611,C,high-profile,adj.,high-profile,Diphthong,/ oʊ /
612,C,hint,n.,hint,Monophthong,/ ɪ /
613,C,homeland,n.,homeland,Diphthong,/ oʊ /
614,C,hook,v.,hook,Monophthong,/ ʊ /
615,C,hopeful,adj.,hopeful,Diphthong,/ oʊ /
616,C,horizon,n.,horizon,Diphthong,/ aɪ /
617,C,horn,n.,horn,Monophthong,/ ɔ /
618,C,hostage,n.,hostage,Monophthong,/ ɑ /
619,C,hostile,adj.,hostile,Monophthong,/ ɑ /
620,C,hostility,n.,hostility,Monophthong,/ ɪ /
621,C,humanitarian,adj.,humanitarian,Monophthong,/ ɛ /
622,C,humanity,n.,humanity,Monophthong,/ æ /
623,C,humble,adj.,humble,Monophthong,/ ʌ /
624,C,hydrogen,n.,hydrogen,Diphthong,/ aɪ /
625,C,identification,n.,identification,Diphthong,/ eɪ /
626,C,ideological,adj.,ideological,Monophthong,/ ɑ /
627,C,ideology,n.,ideology,Monophthong,/ ɑ /
628,C,idiot,n.,idiot,Monophthong,/ ɪ /
629,C,ignorance,n.,ignorance,Monophthong,/ ɪ /
630,C,imagery,n.,imagery,Monophthong,/ ɪ /
631,C,immense,adj.,immense,Monophthong,/ ɛ /
632,C,imminent,adj.,imminent,Monophthong,/ ɪ /
633,C,implementation,n.,implementation,Diphthong,/ eɪ /
634,C,imprison,v.,imprison,Monophthong,/ ɪ /
635,C,imprisonment,n.,imprisonment,Monophthong,/ ɪ /
636,C,inability,n.,inability,Monophthong,/ ɪ /
637,C,inadequate,adj.,inadequate,Monophthong,/ æ /
638,C,inappropriate,adj.,inappropriate,Diphthong,/ oʊ /
639,C,incidence,n.,incidence,Monophthong,/ ɪ /
640,C,inclined,adj.,inclined,Diphthong,/ aɪ /
641,C,inclusion,n.,inclusion,Monophthong,/ u /
642,C,incur,v.,incur,Monophthong,/ ɝ /
643,C,indicator,n.,indicator,Monophthong,/ ɪ /
644,C,indictment,n.,indictment,Diphthong,/ aɪ /
645,C,indigenous,adj.,indigenous,Monophthong,/ ɪ /
646,C,induce,v.,induce,Monophthong,/ u /
647,C,indulge,v.,indulge,Monophthong,/ ʌ /
648,C,inequality,n.,inequality,Monophthong,/ ɑ /
649,C,infamous,adj.,infamous,Monophthong,/ ɪ /
650,C,infant,n.,infant,Monophthong,/ ɪ /
651,C,infect,v.,infect,Monophthong,/ ɛ /
652,C,inflict,v.,inflict,Monophthong,/ ɪ /
653,C,influential,adj.,influential,Monophthong,/ ɛ /
654,C,inherent,adj.,inherent,Monophthong,/ ɛ /
655,C,inhibit,v.,inhibit,Monophthong,/ ɪ /
656,C,initiate,v.,initiate,Monophthong,/ ɪ /
657,C,inject,v.,inject,Monophthong,/ ɛ /
658,C,injection,n.,injection,Monophthong,/ ɛ /
659,C,injustice,n.,injustice,Monophthong,/ ʌ /
660,C,inmate,n.,inmate,Monophthong,/ ɪ /
661,C,insertion,n.,insertion,Monophthong,/ ɝ /
662,C,insider,n.,insider,Diphthong,/ aɪ /
663,C,inspect,v.,inspect,Monophthong,/ ɛ /
664,C,inspection,n.,inspection,Monophthong,/ ɛ /
665,C,inspiration,n.,inspiration,Diphthong,/ eɪ /
666,C,instinct,n.,instinct,Monophthong,/ ɪ /
667,C,institutional,adj.,institutional,Monophthong,/ u /
668,C,instruct,v.,instruct,Monophthong,/ ʌ /
669,C,instrumental,adj.,instrumental,Monophthong,/ ɛ /
670,C,insufficient,adj.,insufficient,Monophthong,/ ɪ /
671,C,insult,n.,insult,Monophthong,/ ɪ /
672,C,insult,v.,insult,Monophthong,/ ʌ /
673,C,intact,adj.,intact,Monophthong,/ æ /
674,C,intake,n.,intake,Monophthong,/ ɪ /
675,C,integral,adj.,integral,Monophthong,/ ɛ /
676,C,integrated,adj.,integrated,Monophthong,/ ɪ /
677,C,integration,n.,integration,Diphthong,/ eɪ /
678,C,integrity,n.,integrity,Monophthong,/ ɛ /
679,C,intellectual,n.,intellectual,Monophthong,/ ɛ /
680,C,intensify,v.,intensify,Monophthong,/ ɛ /
681,C,intensity,n.,intensity,Monophthong,/ ɛ /
682,C,intensive,adj.,intensive,Monophthong,/ ɛ /
683,C,intent,n.,intent,Monophthong,/ ɛ /
684,C,interactive,adj.,interactive,Monophthong,/ æ /
685,C,interface,n.,interface,Monophthong,/ ɪ /
686,C,interfere,v.,interfere,Monophthong,/ ɪ /
687,C,interference,n.,interference,Monophthong,/ ɪ /
688,C,interim,adj.,interim,Monophthong,/ ɪ /
689,C,interior,"adj., n.",interior,Monophthong,/ ɪ /
690,C,intermediate,adj.,intermediate,Monophthong,/ i /
691,C,intervene,v.,intervene,Monophthong,/ i /
692,C,intervention,n.,intervention,Monophthong,/ ɛ /
693,C,intimate,adj.,intimate,Monophthong,/ ɪ /
694,C,intriguing,adj.,intriguing,Monophthong,/ i /
695,C,investigator,n.,investigator,Monophthong,/ ɛ /
696,C,invisible,adj.,invisible,Monophthong,/ ɪ /
697,C,invoke,v.,invoke,Diphthong,/ oʊ /
698,C,involvement,n.,involvement,Monophthong,/ ɑ /
699,C,ironic,adj.,ironic,Monophthong,/ ɑ /
700,C,ironically,adv.,ironically,Monophthong,/ ɑ /
701,C,irony,n.,irony,Diphthong,/ aɪ /
702,C,irrelevant,adj.,irrelevant,Monophthong,/ ɛ /
703,C,isolation,n.,isolation,Diphthong,/ eɪ /
704,C,judicial,adj.,judicial,Monophthong,/ ɪ /
705,C,junction,n.,junction,Monophthong,/ ʌ /
706,C,jurisdiction,n.,jurisdiction,Monophthong,/ ɪ /
707,C,just,adj.,just,Monophthong,/ ʌ /
708,C,justification,n.,justification,Diphthong,/ eɪ /
709,C,kidnap,v.,kidnap,Monophthong,/ ɪ /
710,C,kidney,n.,kidney,Monophthong,/ ɪ /
711,C,kingdom,n.,kingdom,Monophthong,/ ɪ /
712,C,lad,n.,lad,Monophthong,/ æ /
713,C,landlord,n.,landlord,Monophthong,/ æ /
714,C,landmark,n.,landmark,Monophthong,/ æ /
715,C,lap,n.,lap,Monophthong,/ æ /
716,C,large-scale,adj.,large-scale,Diphthong,/ eɪ /
717,C,laser,n.,laser,Diphthong,/ eɪ /
718,C,latter,adj.,latter,Monophthong,/ æ /
719,C,latter,n.,latter,Monophthong,/ æ /
720,C,lawn,n.,lawn,Monophthong,/ ɔ /
721,C,lawsuit,n.,lawsuit,Monophthong,/ ɔ /
722,C,layout,n.,layout,Diphthong,/ eɪ /
723,C,leak,v.,leak,Monophthong,/ i /
724,C,leak,n.,leak,Monophthong,/ i /
725,C,leap,v.,leap,Monophthong,/ i /
726,C,leap,n.,leap,Monophthong,/ i /
727,C,legacy,n.,legacy,Monophthong,/ ɛ /
728,C,legendary,adj.,legendary,Monophthong,/ ɛ /
729,C,legislation,n.,legislation,Diphthong,/ eɪ /
730,C,legislative,adj.,legislative,Monophthong,/ ɛ /
731,C,legislature,n.,legislature,Monophthong,/ ɛ /
732,C,legitimate,adj.,legitimate,Monophthong,/ ɪ /
733,C,lengthy,adj.,lengthy,Monophthong,/ ɛ /
734,C,lesbian,adj.,lesbian,Monophthong,/ ɛ /
735,C,lesser,adj.,lesser,Monophthong,/ ɛ /
736,C,lethal,adj.,lethal,Monophthong,/ i /
737,C,liable,adj.,liable,Diphthong,/ aɪ /
738,C,liberal,adj.,liberal,Monophthong,/ ɪ /
739,C,liberal,n.,liberal,Monophthong,/ ɪ /
740,C,liberation,n.,liberation,Diphthong,/ eɪ /
741,C,liberty,n.,liberty,Monophthong,/ ɪ /
742,C,license,v.,license,Diphthong,/ aɪ /
743,C,lifelong,adj.,lifelong,Diphthong,/ aɪ /
744,C,likelihood,n.,likelihood,Diphthong,/ aɪ /
745,C,limb,n.,limb,Monophthong,/ ɪ /
746,C,linear,adj.,linear,Monophthong,/ ɪ /
747,C,line-up,n.,line-up,Diphthong,/ aɪ /
748,C,linger,v.,linger,Monophthong,/ ɪ /
749,C,listing,n.,listing,Monophthong,/ ɪ /
750,C,literacy,n.,literacy,Monophthong,/ ɪ /
751,C,liver,n.,liver,Monophthong,/ ɪ /
752,C,lobby,n.,lobby,Monophthong,/ ɑ /
753,C,log,n.,log,Monophthong,/ ɔ /
754,C,log,v.,log,Monophthong,/ ɔ /
755,C,logic,n.,logic,Monophthong,/ ɑ /
756,C,long-standing,adj.,long-standing,Monophthong,/ æ /
757,C,long-time,adj.,long-time,Monophthong,/ ɔ /
758,C,loom,v.,loom,Monophthong,/ u /
759,C,loop,n.,loop,Monophthong,/ u /
760,C,loyalty,n.,loyalty,Diphthong,/ ɔɪ /
761,C,machinery,n.,machinery,Monophthong,/ i /
762,C,magical,adj.,magical,Monophthong,/ æ /
763,C,magistrate,n.,magistrate,Monophthong,/ æ /
764,C,magnetic,adj.,magnetic,Monophthong,/ ɛ /
765,C,magnitude,n.,magnitude,Monophthong,/ æ /
766,C,mainland,n.,mainland,Diphthong,/ eɪ /
767,C,mainstream,n.,mainstream,Diphthong,/ eɪ /
768,C,mainstream,adj.,mainstream,Diphthong,/ eɪ /
769,C,maintenance,n.,maintenance,Diphthong,/ eɪ /
770,C,mandate,n.,mandate,Monophthong,/ æ /
771,C,mandatory,adj.,mandatory,Monophthong,/ æ /
772,C,manifest,v.,manifest,Monophthong,/ æ /
773,C,manipulate,v.,manipulate,Monophthong,/ ɪ /
774,C,manipulation,n.,manipulation,Diphthong,/ eɪ /
775,C,manuscript,n.,manuscript,Monophthong,/ æ /
776,C,march,n.,march,Monophthong,/ ɑ /
777,C,march,v.,march,Monophthong,/ ɑ /
778,C,marginal,adj.,marginal,Monophthong,/ ɑ /
779,C,marine,adj.,marine,Monophthong,/ i /
780,C,marketplace,n.,marketplace,Monophthong,/ ɑ /
781,C,mask,n.,mask,Monophthong,/ æ /
782,C,massacre,n.,massacre,Monophthong,/ æ /
783,C,mathematical,adj.,mathematical,Monophthong,/ æ /
784,C,mature,adj.,mature,Monophthong,/ ʊ /
785,C,mature,v.,mature,Monophthong,/ ʊ /
786,C,maximize,v.,maximize,Monophthong,/ æ /
787,C,meaningful,adj.,meaningful,Monophthong,/ i /
788,C,meantime,n.,meantime,Monophthong,/ i /
789,C,medieval,adj.,medieval,Monophthong,/ i /
790,C,meditation,n.,meditation,Diphthong,/ eɪ /
791,C,melody,n.,melody,Monophthong,/ ɛ /
792,C,memo,n.,memo,Monophthong,/ ɛ /
793,C,memoir,n.,memoir,Monophthong,/ ɛ /
794,C,memorial,n.,memorial,Monophthong,/ ɔ /
795,C,mentor,n.,mentor,Monophthong,/ ɛ /
796,C,merchant,n.,merchant,Monophthong,/ ɝ /
797,C,mercy,n.,mercy,Monophthong,/ ɝ /
798,C,mere,adj.,mere,Monophthong,/ ɪ /
799,C,merely,adv.,merely,Monophthong,/ ɪ /
800,C,merge,v.,merge,Monophthong,/ ɝ /
801,C,merger,n.,merger,Monophthong,/ ɝ /
802,C,merit,n.,merit,Monophthong,/ ɛ /
803,C,methodology,n.,methodology,Monophthong,/ ɑ /
804,C,midst,n.,midst,Monophthong,/ ɪ /
805,C,migration,n.,migration,Diphthong,/ eɪ /
806,C,militant,n.,militant,Monophthong,/ ɪ /
807,C,militant,adj.,militant,Monophthong,/ ɪ /
808,C,militia,n.,militia,Monophthong,/ ɪ /
809,C,mill,n.,mill,Monophthong,/ ɪ /
810,C,minimal,adj.,minimal,Monophthong,/ ɪ /
811,C,minimize,v.,minimize,Monophthong,/ ɪ /
812,C,mining,n.,mining,Diphthong,/ aɪ /
813,C,ministry,n.,ministry,Monophthong,/ ɪ /
814,C,minute,,minute,Monophthong,/ ɪ /
815,C,miracle,n.,miracle,Monophthong,/ ɪ /
816,C,misery,n.,misery,Monophthong,/ ɪ /
817,C,misleading,adj.,misleading,Monophthong,/ i /
818,C,missile,n.,missile,Monophthong,/ ɪ /
819,C,mob,n.,mob,Monophthong,/ ɑ /
820,C,mobility,n.,mobility,Monophthong,/ ɪ /
821,C,mobilize,v.,mobilize,Diphthong,/ oʊ /
822,C,moderate,adj.,moderate,Monophthong,/ ɑ /
823,C,modification,n.,modification,Diphthong,/ eɪ /
824,C,momentum,n.,momentum,Monophthong,/ ɛ /
825,C,monk,n.,monk,Monophthong,/ ʌ /
826,C,monopoly,n.,monopoly,Monophthong,/ ɑ /
827,C,morality,n.,morality,Monophthong,/ æ /
828,C,motive,n.,motive,Diphthong,/ oʊ /
829,C,motorist,n.,motorist,Diphthong,/ oʊ /
830,C,municipal,adj.,municipal,Monophthong,/ ɪ /
831,C,mutual,adj.,mutual,Monophthong,/ u /
832,C,namely,adv.,namely,Diphthong,/ eɪ /
833,C,nationwide,adj.,nationwide,Diphthong,/ aɪ /
834,C,naval,adj.,naval,Diphthong,/ eɪ /
835,C,neglect,v.,neglect,Monophthong,/ ɛ /
836,C,neglect,n.,neglect,Monophthong,/ ɛ /
837,C,neighboring,adj.,neighboring,Diphthong,/ eɪ /
838,C,nest,n.,nest,Monophthong,/ ɛ /
839,C,net,adj.,net,Monophthong,/ ɛ /
840,C,newsletter,n.,newsletter,Monophthong,/ u /
841,C,niche,n.,niche,Monophthong,/ ɪ /
842,C,noble,adj.,noble,Diphthong,/ oʊ /
843,C,nod,v.,nod,Monophthong,/ ɑ /
844,C,nominate,v.,nominate,Monophthong,/ ɑ /
845,C,nomination,n.,nomination,Diphthong,/ eɪ /
846,C,nominee,n.,nominee,Monophthong,/ i /
847,C,nonetheless,adv.,nonetheless,Monophthong,/ ɛ /
848,C,non-profit,adj.,non-profit,Monophthong,/ ɑ /
849,C,nonsense,n.,nonsense,Monophthong,/ ɑ /
850,C,noon,n.,noon,Monophthong,/ u /
851,C,notable,adj.,notable,Diphthong,/ oʊ /
852,C,notably,adv.,notably,Diphthong,/ oʊ /
853,C,notify,v.,notify,Diphthong,/ oʊ /
854,C,notorious,adj.,notorious,Monophthong,/ ɔ /
855,C,novel,adj.,novel,Monophthong,/ ɑ /
856,C,nursery,n.,nursery,Monophthong,/ ɝ /
857,C,objection,n.,objection,Monophthong,/ ɛ /
858,C,oblige,v.,oblige,Diphthong,/ aɪ /
859,C,obsess,v.,obsess,Monophthong,/ ɛ /
860,C,obsession,n.,obsession,Monophthong,/ ɛ /
861,C,occasional,adj.,occasional,Diphthong,/ eɪ /
862,C,occurrence,n.,occurrence,Monophthong,/ ɝ /
863,C,odds,n.,odds,Monophthong,/ ɑ /
864,C,offering,n.,offering,Monophthong,/ ɔ /
865,C,offspring,n.,offspring,Monophthong,/ ɔ /
866,C,operational,adj.,operational,Diphthong,/ eɪ /
867,C,opt,v.,opt,Monophthong,/ ɑ /
868,C,optical,adj.,optical,Monophthong,/ ɑ /
869,C,optimism,n.,optimism,Monophthong,/ ɑ /
870,C,oral,adj.,oral,Monophthong,/ ɔ /
871,C,organizational,adj.,organizational,Diphthong,/ eɪ /
872,C,orientation,n.,orientation,Diphthong,/ eɪ /
873,C,originate,v.,originate,Monophthong,/ ɪ /
874,C,outbreak,n.,outbreak,Diphthong,/ aʊ /
875,C,outing,n.,outing,Diphthong,/ aʊ /
876,C,outlet,n.,outlet,Diphthong,/ aʊ /
877,C,outlook,n.,outlook,Diphthong,/ aʊ /
878,C,outrage,n.,outrage,Diphthong,/ aʊ /
879,C,outrage,v.,outrage,Diphthong,/ aʊ /
880,C,outsider,n.,outsider,Diphthong,/ aɪ /
881,C,overlook,v.,overlook,Monophthong,/ ʊ /
882,C,overly,adv.,overly,Diphthong,/ oʊ /
883,C,oversee,v.,oversee,Monophthong,/ i /
884,C,overturn,v.,overturn,Monophthong,/ ɝ /
885,C,overwhelm,v.,overwhelm,Monophthong,/ ɛ /
886,C,overwhelming,adj.,overwhelming,Monophthong,/ ɛ /
887,C,pad,n.,pad,Monophthong,/ æ /
888,C,parameter,n.,parameter,Monophthong,/ æ /
889,C,parental,adj.,parental,Monophthong,/ ɛ /
890,C,parish,n.,parish,Monophthong,/ æ /
891,C,parliamentary,adj.,parliamentary,Monophthong,/ ɛ /
892,C,partial,adj.,partial,Monophthong,/ ɑ /
893,C,partially,adv.,partially,Monophthong,/ ɑ /
894,C,passing,n.,passing,Monophthong,/ æ /
895,C,passive,adj.,passive,Monophthong,/ æ /
896,C,pastor,n.,pastor,Monophthong,/ æ /
897,C,patch,n.,patch,Monophthong,/ æ /
898,C,patent,n.,patent,Monophthong,/ æ /
899,C,pathway,n.,pathway,Monophthong,/ æ /
900,C,patrol,n.,patrol,Diphthong,/ oʊ /
901,C,patrol,v.,patrol,Diphthong,/ oʊ /
902,C,patron,n.,patron,Diphthong,/ eɪ /
903,C,peak,n.,peak,Monophthong,/ i /
904,C,peasant,n.,peasant,Monophthong,/ ɛ /
905,C,peculiar,adj.,peculiar,Monophthong,/ u /
906,C,persist,v.,persist,Monophthong,/ ɪ /
907,C,persistent,adj.,persistent,Monophthong,/ ɪ /
908,C,personnel,n.,personnel,Monophthong,/ ɛ /
909,C,petition,n.,petition,Monophthong,/ ɪ /
910,C,philosopher,n.,philosopher,Monophthong,/ ɑ /
911,C,philosophical,adj.,philosophical,Monophthong,/ ɑ /
912,C,physician,n.,physician,Monophthong,/ ɪ /
913,C,pioneer,n.,pioneer,Monophthong,/ ɪ /
914,C,pipeline,n.,pipeline,Diphthong,/ aɪ /
915,C,pirate,n.,pirate,Diphthong,/ aɪ /
916,C,pit,n.,pit,Monophthong,/ ɪ /
917,C,plea,n.,plea,Monophthong,/ i /
918,C,plead,v.,plead,Monophthong,/ i /
919,C,pledge,v.,pledge,Monophthong,/ ɛ /
920,C,pledge,n.,pledge,Monophthong,/ ɛ /
921,C,plug,v.,plug,Monophthong,/ ʌ /
922,C,plug,n.,plug,Monophthong,/ ʌ /
923,C,plunge,v.,plunge,Monophthong,/ ʌ /
924,C,pole,n.,pole,Diphthong,/ oʊ /
925,C,poll,n.,poll,Diphthong,/ oʊ /
926,C,pond,n.,pond,Monophthong,/ ɑ /
927,C,pop,v.,pop,Monophthong,/ ɑ /
928,C,portfolio,n.,portfolio,Diphthong,/ oʊ /
929,C,portray,v.,portray,Diphthong,/ eɪ /
930,C,postpone,v.,postpone,Diphthong,/ oʊ /
931,C,post-war,adj.,post-war,Diphthong,/ oʊ /
932,C,practitioner,n.,practitioner,Monophthong,/ ɪ /
933,C,preach,v.,preach,Monophthong,/ i /
934,C,precedent,n.,precedent,Monophthong,/ ɛ /
935,C,precision,n.,precision,Monophthong,/ ɪ /
936,C,predator,n.,predator,Monophthong,/ ɛ /
937,C,predecessor,n.,predecessor,Monophthong,/ ɛ /
938,C,predominantly,adv.,predominantly,Monophthong,/ ɑ /
939,C,pregnancy,n.,pregnancy,Monophthong,/ ɛ /
940,C,prejudice,n.,prejudice,Monophthong,/ ɛ /
941,C,preliminary,adj.,preliminary,Monophthong,/ ɪ /
942,C,premier,n.,premier,Monophthong,/ ɪ /
943,C,premise,n.,premise,Monophthong,/ ɛ /
944,C,premium,n.,premium,Monophthong,/ i /
945,C,prescribe,v.,prescribe,Diphthong,/ aɪ /
946,C,prescription,n.,prescription,Monophthong,/ ɪ /
947,C,presently,adv.,presently,Monophthong,/ ɛ /
948,C,preservation,n.,preservation,Monophthong,/ ɛ /
949,C,preside,v.,preside,Diphthong,/ aɪ /
950,C,presidency,n.,presidency,Monophthong,/ ɛ /
951,C,presidential,adj.,presidential,Monophthong,/ ɛ /
952,C,prestigious,adj.,prestigious,Monophthong,/ i /
953,C,presumably,adv.,presumably,Monophthong,/ u /
954,C,presume,v.,presume,Monophthong,/ u /
955,C,prevail,v.,prevail,Diphthong,/ eɪ /
956,C,prevalence,n.,prevalence,Monophthong,/ ɛ /
957,C,prevention,n.,prevention,Monophthong,/ ɛ /
958,C,prey,n.,prey,Diphthong,/ eɪ /
959,C,principal,n.,principal,Monophthong,/ ɪ /
960,C,privatization,n.,privatization,Diphthong,/ aɪ /
961,C,privilege,n.,privilege,Monophthong,/ ɪ /
962,C,probe,n.,probe,Diphthong,/ oʊ /
963,C,probe,v.,probe,Diphthong,/ oʊ /
964,C,problematic,adj.,problematic,Monophthong,/ æ /
965,C,proceedings,n.,proceedings,Monophthong,/ i /
966,C,proceeds,n.,proceeds,Diphthong,/ oʊ /
967,C,processing,n.,processing,Monophthong,/ ɑ /
968,C,processor,n.,processor,Monophthong,/ ɑ /
969,C,proclaim,v.,proclaim,Monophthong,/ eɪ /
970,C,productive,adj.,productive,Monophthong,/ ʌ /
971,C,productivity,n.,productivity,Diphthong,/ oʊ /
972,C,profitable,adj.,profitable,Monophthong,/ ɑ /
973,C,profound,adj.,profound,Diphthong,/ aʊ /
974,C,projection,n.,projection,Monophthong,/ ɛ /
975,C,prominent,adj.,prominent,Monophthong,/ ɑ /
976,C,pronounced,adj.,pronounced,Diphthong,/ aʊ /
977,C,propaganda,n.,propaganda,Monophthong,/ ɑ /
978,C,proposition,n.,proposition,Monophthong,/ ɪ /
979,C,prosecute,v.,prosecute,Monophthong,/ ɑ /
980,C,prosecution,n.,prosecution,Monophthong,/ ɑ /
981,C,prosecutor,n.,prosecutor,Monophthong,/ ɑ /
982,C,prospective,adj.,prospective,Monophthong,/ ɛ /
